aekgvangq 雅量 
aen loqsiengj Cungguek 中国梦
aendaepfwngz 手铐
aengieniq 小圈子
aenyaenq 印章
aeunaj 自重
aeuroengz 下载 
anqcoihcingq 修正案
baecinj 批准
baefat 批发
baenzroix 一揽子
baijyiengh 作秀
bakfaendiemj 百分点
banggouq 援救
baudaeh 承运
beijbuek 比拼
bekcien 拍砖 
bienqcauh 变造
binghbwtfaenx 尘肺病 
binghsimdaeuz 心脏病
biujboed 爆表
boekbienq 变幻
bonjcienz 本钱
bonjsaek 本色
bonjsingq 本性
boujgouq 补救
bouxak 达人
bouxapyinh 押运员
bouxbingh 患者
bouxbyaijgonq 先驱
bouxcuengqcaiq 债权人
bouxdaeuz 首长
bouxdangsaeh 当事人
bouxdawzcaiq 债务人
bouxdouzbauj 投保人
bouxduenh 仲裁人
bouxfamh 犯人；罪犯
bouxgaggauq 自诉人
bouxgagnyienh 志愿者
bouxgauq 诉讼人
bouxgeiqsij 书记员
bouxguhdoj 赌徒
bouxhamxhawz 半吊子
bouxhenxlaux 啃老族 
bouxhengzguh 行为人； 实施者
bouxoeteiq 行贿人；行贿者
bouxriengzfamh 从犯
bouxsaemjbuenq 审判员
bouxsou 收件人 
bouxsoucawx 收买人；收买者
bouxsoucienz 收款人
bouxsouh'ik 受益人
bouxsouhnyiengh 受让人
bouxukmbieng 异教徒
bouxyawj 观众
buqcanj 破产
buekboh 拼爹
buekdauq 驳回 
bueklaih 辟谣 
buenzhoengh 盘活
buenq 贩卖
buenqlaeh 判例 
bungjciengz 捧场
bwhyungh 备用
byaijyiengq 趋势
cabgyaj 掺假
caegndomq 偷窥
caeksuenq 测算
caemhmaj 共生
caemhyiengq 同向
caepcuij 悲催
caizfouq 财富
caizgemj 裁减
caiqyienh 再现
cangding 装订
cangsaw 书库
cangyiengh 卖萌
cangzdai moq 新常态
canghsijveh 书画家
capsouj 驻守
catbingz 刷屏
cauhlaeb 创立
cauhmoq 创新
cauhnduj 原创；首创
cauhnieb 创业
ceiqndei 上乘 
cekcawz 拆除
cekdog 孤本
cekeiq 释义
cekfaen 拆分
ceksanq 拆散
ceksenj 拆迁
cijvaiz 牛奶
ciqdiuh 借调
cihhauh 字号
ciemqgwn 侵吞
ciemqyungh 占用
cien'gvi 专属
cienlanz 专栏
cienleih 专利
cienmonz 专门
ciennieb 专业
ciensienq 专线
cienzbanghag 助学金
cienzbaujguenj 保管费
cienzbiuq 传票
cienzboq 传播
cienzbouh 全部
cienzciengxbak 扶养费
cienzciengxlaux 赡养费
cienzciengxlwg 抚养费
cienzdienh 电费
cienzdoj 赌资
cienzfad 罚金
cienzgangj 传说
cienzgauq 诉讼费
cienzgoq 佣金
cienzgouqcai 救灾款
cienzgvaeh 税金；税款
cienzgyaj 假币
cienzgyaq 全价
cienzgyauq 传教
cienzhaeuj 传入
cienzhaeux ①粮票。②饭钱。
cienzhag 学费
cienzheuh 传唤
cienzhoiz 传译
cienzhoih 全会
cienzhuq 货款
cienzhwnj 上传
cienzlig 全力
cienzlw 余款
cienzmienh 全面
cienznguhhong 误工费
cienzraemx 水费
cienzrom 存款
cienzrouh 赎金
cienzsaenqsik 信息费
cienzsiu 传销
cienzsoengq 传送
cienzswnj 传承；继承
cienzyiengz 传扬
cienzyungh 费用
cienjbienq 转变
cienjboq 转播
cienjcanj 转产
cienjciq 转借
cienjfat 转发
cienjfwngz 转手
cienjgai 转卖
cienjgveij 转轨
cienjgyau 转交
cienjhaeuj 转入
cienjhawj 转给
cienjhingz 转型
cienjnieb 转业
cienjnyiengh 转让；让渡
cienjseiq 转世
cienjsoengq 转送
cienjvaq 转化
cienjvuenh 转换
cienjyiengq 转向
cienqdauq 回转
cienqdoengh 转动
cieng 春节
ciengjcoih 抢修
ciengjfad 奖罚
ciengjgim 奖金
ciepbanh 承办
ciepcoux 迎接
ciepdaih 接待
ciepdingq 接听
ciepdoeng 接通
ciepgaenh 接近
ciepgveij 接轨
ciephaeuj 接入
ciepnyaemh 接任
